id,paper_text
1009,Abrupt
1010,Acceptable
1011,Acclaim
1012,Actually
1013,Adverse
1014,Advice
1015,Attractive
1016,Autonomous
1017,Disapproval
1018,Disruptive
1019,Haphazardly
1020,Ideal
1021,Persistent
1022,Wide
1023,Advanced
1024,Advantage
1025,Advent
1026,Agile
1027,Albeit
1028,Allow
1029,Appealing
1030,Celebrated
1031,Contemporary
1032,Distribute
1033,Energetic
1034,Frail
1035,Refine
1036,Worthwhile
1037,Analyze
1038,Ancient
1039,Annoying
1040,Conform
1041,Enrich
1042,Intensify
1043,Intolerable
1044,Observe
1045,Ongoing
1046,Propose
1047,Restore
1048,Ambiguous
1049,Apparent
1050,Arbitrary
1051,Assert
1052,Astounding
1053,Astute
1054,Authorize
1055,Deceptively
1056,Determined
1057,Elicit
1058,Petition
1059,Relinquish
1060,Resilient
1061,Amaze
1062,Bear
1063,Block
1064,Blur
1065,Brilliant
1066,Caution
1067,Delicate
1068,Enhance
1069,Intrigue
1070,Replace
1071,Shed
1072,Chiefly
1073,Coarse
1074,Commonplace
1075,Comparatively
1076,Complex
1077,Conventional
1078,Curious
1079,Exceedingly
1080,Exclusively
1081,Immense
1082,Indeed
1083,Rigid
1084,Routinely
1085,Sufficiently
1086,Visibly
1087,Clarify
1088,Constantly
1089,Convenient
1090,Core
1091,Critical
1092,Distort
1093,Diverse
1094,Prosperous
1095,Purposefully
1096,Scarcely
1097,Theoretically
1098,Accelerate
1099,Crack
1100,Create
1101,Creep
1102,Crush
1103,Cultivate
1104,Dictate
1105,Distinguish
1106,Flaw
1107,Mirror
1108,Particle
1109,Settle
1110,Transport
1111,Classify
1112,Currency
1113,Deep
1114,Depend on
1115,Dim
1116,Display
1117,Exports
1118,Gigantic
1119,Impressive
1120,Lasting
1121,Treasury
1122,Uniform
1123,Vibrant
1124,Distinct
1125,Dominant
1126,Dormant
1127,Drab
1128,Dramatic
1129,Elaborate
1130,Exceptional
1131,Hazardous
1132,Minuscule
1133,Prime
1134,Rudimentary
1135,Superficial
1136,Terrifying
1137,Vigorous
1138,Amenity
1139,Destroy
1140,Disperse
1141,Dwelling
1142,Element
1143,Elementary
1144,Emphasize
1145,Encircle
1146,Erratic
1147,Mention
1148,Pier
1149,Prevalent
1150,Release
1151,Benefit
1152,Blind
1153,Broaden
1154,Burgeon
1155,Conspicuously
1156,Demand
1157,Endorse
1158,Entirely
1159,Erode
1160,Evaporate
1161,Recover
1162,Reportedly
1163,Shift
1164,Suffer
1165,Crucial
1166,Dignitary
1167,Elude
1168,Evident
1169,Extensive
1170,Extremely
1171,Face
1172,Facet
1173,Hero
1174,Inaccessible
1175,Obviously
1176,Predictably
1177,Solve
1178,Suitable
1179,Ample
1180,Arid
1181,Defy
1182,Enact
1183,Even
1184,Feign
1185,Freshly
1186,Function
1187,Fundamental
1188,Indiscriminate
1189,Selective
1190,Spacious
1191,Withstand
1192,Durable
1193,Favor
1194,Gain
1195,Generate
1196,Halt
1197,Handle
1198,Harbor
1199,Harmful
1200,Insignificant
1201,Mysterious
1202,Perilous
1203,Substantial
1204,Conscientious
1205,Convey
1206,Encompass
1207,Expansion
1208,Heighten
1209,Highlight
1210,Inadvertently
1211,Inevitable
1212,Infancy
1213,Miraculously
1214,Retrieve
1215,Systematically
1216,Unlikely
1217,Unwarranted
1218,Zenith
1219,Agitate
1220,Confidential
1221,Delighted
1222,Discreetly
1223,Documented
